,name,icao,country
509,Austral Lineas Aereas,AUT,Argentina
510,Aurora Aviation,AUU,AURORA AIR
511,Air Uganda International Ltd.,AUX,Uganda
512,Aerolineas Uruguayas,AUY,AUSA
513,Australian Airlines,AUZ,Australia
514,Avianca - Aerovias Nacionales de Colombia,AVA,AVIANCA
515,Aviation Beaufort,AVB,United Kingdom
516,Alamo Aviacion,AVD,ALAMO
517,Aviair Aviation Ltd.,AVF,Canada
518,Air Falcon,AVG,Djibouti
519,AV8 Helicopters,AVH,United Kingdom
520,Avia Traffic Company,AVJ,Kyrgyzstan
521,AV8 Helicopters,AVK,South Africa
522,Aviacion Ejecutiva Mexicana,AVM,AVEMEX
523,Air Vanuatu,AVN,Vanuatu
524,Aviation at Work,AVO,South Africa
525,Avcorp Registrations,AVP,United Kingdom
526,Alfa Aerospace,LFP,Australia
527,Atlantic Airfreight Aviation,LFR,Sao Tome and Principe
528,Aerolift Company,LFT,Sierra Leone
529,Aviation Services,AVQ,AQUILINE
530,Active Aero Charter,AVR,ACTIVE AERO
531,Avialsa T-35,AVS,Spain
532,Asia Avia Airlines,AVT,Indonesia
533,Avia Sud A,AVU,France
534,Airvantage Incorporated,AVV,United States
535,Aviator Airways,AVW,Greece
536,Aviapaslauga,AVX,Lithuania
537,ASL,XXX,Belgium
538,Air Yugoslavia,YRG,Serbia
539,Airlink Zambia,ZAK,Zambia
540,Agence Nationale des Aerodromes et de la Meteorologie,ZZM,Ivory Coast
541,Airbus Transport International,BGA,France
542,Air Bangladesh,BGD,Bangladesh
543,Aviodetachment-28,BGF,Bulgaria
544,Aero BG,BGG,Mexico
545,Aerotaxis De La Bahia,BHC,Mexico
546,Air Mediterranee,BIE,France
547,Aviaservice,BIV,Georgia
548,Aerolineas De El Salvador,SZA,El Salvador
549,Swaziland Airlink,SZL,Swaziland
550,Air Moorea,TAH,France
551,Aerovaradero,AVY,AEROVARADERO
552,Air Valencia,AVZ,Spain
553,Airways International,AWB,AIRNAT
554,Airwork,AWK,New Zealand
555,Australian Wetleasing,AWL,Australia
556,Air Niamey,AWN,Niger
557,Awood Air Ltd.,AWO,Canada
558,Arctic Wings And Rotors Ltd.,AWR,Canada
559,Auo Airclub AIST-M,ISM,Russia
560,Arab Wings,AWS,Jordan
561,Air West,AWT,Canada
562,Aeroline GmbH,AWU,Germany
563,Airwave Transport,AWV,AIRWAVE
564,Air Wales,AWW,United Kingdom
565,Aeroway,AWY,AEROWEE
566,Air Caraïbes,FWI,France
567,AirWest,AWZ,Sudan
568,Air India Express,AXB,India
569,Air Express,AXD,Sudan
570,Asian Express Airlines,AXF,Australia
571,Aeromexhaga,AXH,Mexico
572,Aeron International Airlines,AXI,AIR FREIGHTER
573,African Express Airways,AXK,Kenya
574,Air Exel,AXL,Netherlands
575,AirAsia,AXM,Malaysia
576,Alexandair,AXN,Greece
577,Aeromax,AXP,Spain
578,Action Airlines (Action Air Charter),AXQ,United States
579,Alberni Airways,BNI,Canada
580,Aerolineas Bonanza,BNZ,Mexico
581,Aerobona,BOC,Mexico
582,Aboitiz Air,BOI,Philippines
